PERMNO,date,TICKER,COMNAM,CUSIP,PRC
54827,20121130,MOLX,MOLEX INC,60855410,26.38
54827,20121231,MOLX,MOLEX INC,60855410,27.33
54827,20130131,MOLX,MOLEX INC,60855410,27.16
54827,20130228,MOLX,MOLEX INC,60855410,27.74
54827,20130328,MOLX,MOLEX INC,60855410,29.28
54827,20130430,MOLX,MOLEX INC,60855410,27.57
54827,20130531,MOLX,MOLEX INC,60855410,29.34
54827,20130628,MOLX,MOLEX INC,60855410,29.34
54827,20130731,MOLX,MOLEX INC,60855410,29.85
54827,20130830,MOLX,MOLEX INC,60855410,29.02
54827,20130930,MOLX,MOLEX INC,60855410,38.52
54827,20131031,MOLX,MOLEX INC,60855410,38.625
54827,20131129,MOLX,MOLEX INC,60855410,38.64
54827,20131231,MOLX,MOLEX INC,60855410,
59328,20070131,INTC,INTEL CORP,45814010,20.96
59328,20070228,INTC,INTEL CORP,45814010,19.86
59328,20070330,INTC,INTEL CORP,45814010,19.13
59328,20070430,INTC,INTEL CORP,45814010,21.5
59328,20070531,INTC,INTEL CORP,45814010,22.1799
59328,20070629,INTC,INTEL CORP,45814010,23.7399
59328,20070731,INTC,INTEL CORP,45814010,23.62
59328,20070831,INTC,INTEL CORP,45814010,25.75
59328,20070928,INTC,INTEL CORP,45814010,25.86
59328,20071031,INTC,INTEL CORP,45814010,26.9
59328,20071130,INTC,INTEL CORP,45814010,26.08
59328,20071231,INTC,INTEL CORP,45814010,26.66
59328,20080131,INTC,INTEL CORP,45814010,21.1
59328,20080229,INTC,INTEL CORP,45814010,19.9699
59328,20080331,INTC,INTEL CORP,45814010,21.18
59328,20080430,INTC,INTEL CORP,45814010,22.26
59328,20080530,INTC,INTEL CORP,45814010,23.18
59328,20080630,INTC,INTEL CORP,45814010,21.48
59328,20080731,INTC,INTEL CORP,45814010,22.19
59328,20080829,INTC,INTEL CORP,45814010,22.87
59328,20080930,INTC,INTEL CORP,45814010,18.73
59328,20081031,INTC,INTEL CORP,45814010,16.031
59328,20081128,INTC,INTEL CORP,45814010,13.8
59328,20081231,INTC,INTEL CORP,45814010,14.66
59328,20090130,INTC,INTEL CORP,45814010,12.9
59328,20090227,INTC,INTEL CORP,45814010,12.74
59328,20090331,INTC,INTEL CORP,45814010,15.03
59328,20090430,INTC,INTEL CORP,45814010,15.78
59328,20090529,INTC,INTEL CORP,45814010,15.72
59328,20090630,INTC,INTEL CORP,45814010,16.55
59328,20090731,INTC,INTEL CORP,45814010,19.25
59328,20090831,INTC,INTEL CORP,45814010,20.32
59328,20090930,INTC,INTEL CORP,45814010,19.57
59328,20091030,INTC,INTEL CORP,45814010,19.11
59328,20091130,INTC,INTEL CORP,45814010,19.2
59328,20091231,INTC,INTEL CORP,45814010,20.4
59328,20100129,INTC,INTEL CORP,45814010,19.4
59328,20100226,INTC,INTEL CORP,45814010,20.53
59328,20100331,INTC,INTEL CORP,45814010,22.29
59328,20100430,INTC,INTEL CORP,45814010,22.84
59328,20100528,INTC,INTEL CORP,45814010,21.42
59328,20100630,INTC,INTEL CORP,45814010,19.45
59328,20100730,INTC,INTEL CORP,45814010,20.6
59328,20100831,INTC,INTEL CORP,45814010,17.665
59328,20100930,INTC,INTEL CORP,45814010,19.2
59328,20101029,INTC,INTEL CORP,45814010,20.05
59328,20101130,INTC,INTEL CORP,45814010,21.1575
59328,20101231,INTC,INTEL CORP,45814010,21.03
59328,20110131,INTC,INTEL CORP,45814010,21.46
59328,20110228,INTC,INTEL CORP,45814010,21.47
59328,20110331,INTC,INTEL CORP,45814010,20.18
59328,20110429,INTC,INTEL CORP,45814010,23.15
59328,20110531,INTC,INTEL CORP,45814010,22.51
59328,20110630,INTC,INTEL CORP,45814010,22.16
59328,20110729,INTC,INTEL CORP,45814010,22.33
59328,20110831,INTC,INTEL CORP,45814010,20.13
59328,20110930,INTC,INTEL CORP,45814010,21.335
59328,20111031,INTC,INTEL CORP,45814010,24.54
59328,20111130,INTC,INTEL CORP,45814010,24.91
59328,20111230,INTC,INTEL CORP,45814010,24.25
59328,20120131,INTC,INTEL CORP,45814010,26.42
59328,20120229,INTC,INTEL CORP,45814010,26.88
59328,20120330,INTC,INTEL CORP,45814010,28.115
59328,20120430,INTC,INTEL CORP,45814010,28.395
59328,20120531,INTC,INTEL CORP,45814010,25.84
59328,20120629,INTC,INTEL CORP,45814010,26.65
59328,20120731,INTC,INTEL CORP,45814010,25.7
59328,20120831,INTC,INTEL CORP,45814010,24.83
59328,20120928,INTC,INTEL CORP,45814010,22.655
59328,20121031,INTC,INTEL CORP,45814010,21.63
59328,20121130,INTC,INTEL CORP,45814010,19.565
59328,20121231,INTC,INTEL CORP,45814010,20.62
59328,20130131,INTC,INTEL CORP,45814010,21.04
59328,20130228,INTC,INTEL CORP,45814010,20.88
59328,20130328,INTC,INTEL CORP,45814010,21.835
59328,20130430,INTC,INTEL CORP,45814010,23.95
59328,20130531,INTC,INTEL CORP,45814010,24.28
59328,20130628,INTC,INTEL CORP,45814010,24.23
59328,20130731,INTC,INTEL CORP,45814010,23.335
59328,20130830,INTC,INTEL CORP,45814010,21.98
59328,20130930,INTC,INTEL CORP,45814010,22.921
59328,20131031,INTC,INTEL CORP,45814010,24.47
59328,20131129,INTC,INTEL CORP,45814010,23.84
59328,20131231,INTC,INTEL CORP,45814010,25.955
59328,20140131,INTC,INTEL CORP,45814010,24.54
59328,20140228,INTC,INTEL CORP,45814010,24.76
59328,20140331,INTC,INTEL CORP,45814010,25.814
59328,20140430,INTC,INTEL CORP,45814010,26.69
59328,20140530,INTC,INTEL CORP,45814010,27.32
59328,20140630,INTC,INTEL CORP,45814010,30.9
59328,20140731,INTC,INTEL CORP,45814010,33.89
59328,20140829,INTC,INTEL CORP,45814010,34.92
59328,20140930,INTC,INTEL CORP,45814010,34.82
59328,20141031,INTC,INTEL CORP,45814010,34.01
59328,20141128,INTC,INTEL CORP,45814010,37.25
59328,20141231,INTC,INTEL CORP,45814010,36.29
59328,20150130,INTC,INTEL CORP,45814010,33.04
59328,20150227,INTC,INTEL CORP,45814010,33.25
59328,20150331,INTC,INTEL CORP,45814010,31.27
59328,20150430,INTC,INTEL CORP,45814010,32.55
59328,20150529,INTC,INTEL CORP,45814010,34.46
59328,20150630,INTC,INTEL CORP,45814010,30.415
59328,20150731,INTC,INTEL CORP,45814010,28.95
59328,20150831,INTC,INTEL CORP,45814010,28.54
59328,20150930,INTC,INTEL CORP,45814010,30.14
